problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,session_name,confidence,project_name
Problem 5,E,S3,135,2,1,0,0,2,0,0,1,0,0:03:22,Problem5,7,experiment
Problem 5,C,S4,26,3,1,0,1,1,1,1,0,0,0:01:55,Problem5,4,experiment
Problem 5,E,S5,74,1,1,0,0,1,0,0,1,0,0:01:59,problem5,6,experiment
Problem 5,E,S6,45,1,1,0,0,1,0,0,0,0,0:05:08,Problem5,3,experiment
Problem 5,E,S7,38,1,1,0,0,1,0,0,0,0,0:02:12,problem5,7,EXPERIMENT
Problem 5,E,S8,36,1,1,0,0,1,0,0,0,0,0:01:10,Problem5,7,experiment
Problem 5,C,S9,75,1,1,0,1,1,0,0,0,0,0:02:57,Problem 5,4,experiment
Problem 5,E,S10,74,1,2,0,0,1,0,0,1,0,0:05:51,Problem5,6,experiment
Problem 5,C,S11,26,1,1,0,1,1,0,0,1,0,0:02:15,problem 5,7,expreriment
Problem 5,E,S12,106,3,1,0,0,1,1,1,1,0,0:04:13,Problem 5,7,experiment
Problem 5,E,S13,44,1,1,0,0,1,0,0,0,0,0:03:30,Problem5,7,experiment
Problem 5,D,S14,71,2,1,0,1,1,1,0,0,29,0:03:15,Problem5,7,experiment
Problem 5,E,S15,30,1,1,0,0,1,0,0,0,0,0:02:12,Problem5,5,experiment
Problem 5,C,S16,150,14,1,12,1,14,0,0,1,0,0:05:27,Problem 5,7,experiment
Problem 5,C,S18,46,4,4,2,1,4,0,0,1,0,0:03:19,Problem5,7,experiment
Problem 5,E,S19,159,1,1,0,0,1,0,0,1,0,0:01:48,Problem5,7,experiment
Problem 5,C,S20,79,5,1,3,1,4,0,1,1,0,0:01:52,Problem5,6,experiment
Problem 5,E,S21,216,1,2,0,0,1,0,0,1,0,0:02:39,Problem5,4,experiment
Problem 5,B,S22,236,12,10,7,0,2,10,0,1,0,0:12:48,Problem5,7,experiment
Problem 5,B,S23,65,4,5,2,0,3,0,1,1,0,0:03:04,Problem5,7,experiment
Problem 5,E,S24,48,1,1,0,0,1,0,0,0,0,0:01:55,Problem 5,7,experiment
Problem 5,B,S25,75,6,1,5,0,6,0,0,1,0,0:02:09,Problem5,7,experiment
Problem 5,C,S26,35,3,4,0,1,1,1,1,1,0,0:02:00,Problem5,7,experiment
Problem 5,E,S27,203,1,1,0,0,1,0,0,1,0,0:01:14,Problem5,7,experiment
Problem 5,C,S28,173,7,5,6,1,7,0,0,1,0,0:05:04,problem5,7,experiment
Problem 5,E,S29,359,2,1,0,0,1,1,0,0,0,0:08:27,Problem5,7,experiment
Problem 5,E,S30,32,1,1,0,0,1,0,0,1,0,0:01:56,Problem5,5,Experiment
Problem 5,E,S31,181,2,1,0,0,1,1,0,1,0,0:09:24,PROBLEM5,5,EXPERIMENT
Problem 5,E,S32,44,1,1,0,0,1,0,0,0,0,0:01:43,PROBLEM 5,5,EXPERIMENT
Problem 5,C,S33,208,12,4,0,1,11,0,1,1,0,0:06:29,Problem5,5,experiment
Problem 5,E,S34,90,1,1,0,0,1,0,0,1,0,0:03:37,Problem5,3,experiment
Problem 5,B,S36,82,5,1,3,0,5,0,0,0,0,0:04:19,Problem5,6,experiment
Problem 5,E,S37,34,1,1,0,0,1,0,0,0,0,0:01:29,PROBLEM5,7,EXPERIMENT
Problem 5,E,A1,64,1,1,0,0,1,0,0,1,0,0:01:31,Problem 5,,experiment
Problem 5,A,A2,113,2,1,0,0,0,1,1,0,0,0:03:24,Problem 5,,experiment
Problem 5,A,A3,506,15,6,0,0,14,4,1,0,0,0:16:59,Problem5,,experiment
Problem 5,A,A4,70,2,1,0,0,1,0,1,1,0,0:00:50,Problem 5,,experiment
Problem 5,A,A5,309,2,7,0,0,2,0,0,0,0,0:10:25,Problem5,,experiment
Problem 5,E,A6,17,1,1,0,0,1,0,0,1,0,0:12:00,Problem 5,,experiment
Problem 5,A,A7,107,1,1,0,0,1,0,0,1,0,0:01:35,Problem 5,,experiment
Problem 5,A,A8,320,5,4,0,0,4,0,1,0,0,0:12:47,Problem 5,,experiment
Problem 5,E,A9,61,3,1,0,0,3,0,0,1,0,0:01:20,Problem 5,,experiment
Problem 5,E,A11,22,1,1,0,0,1,0,0,0,0,0:02:31,Problem 5,,experiment
Problem 5,E,A12,99,1,1,0,0,1,0,0,1,0,0:01:05,Problem 5,,experiment
Problem 5,A,A13,34,1,1,0,0,1,0,0,1,0,0:01:14,Problem 5,,experiment
