problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,restore,time,ses_name,proj_name
Problem 1,E,A1,184,4,1,0,0,2,1,1,1,0,0:06:24,Problem 1,experiment
Problem 2,E,A1,102,1,1,0,0,1,0,0,0,0,0:03:55,Problem 2,experiment
Problem 3,E,A1,73,1,1,0,0,1,0,0,1,0,0:04:15,Problem 3,experiment
Problem 4,B,A1,310,9,1,2,0,8,0,2,1,0,0:11:46,Problem 4,experiment
Problem 5,E,A1,64,1,1,0,0,1,0,0,1,0,0:01:31,Problem 5,experiment
Problem 1,A,A2,41,3,1,0,0,1,1,1,1,0,0:02:07,Problem 1,experiment
Problem 2,A,A2,122,3,1,0,0,1,1,1,1,0,0:06:34,Problem 2,experiment
Problem 3,A,A2,22,1,1,0,0,0,1,0,0,0,0:01:14,Problem 3,experiment
Problem 4,A,A2,61,1,1,0,0,0,0,1,0,0,0:02:49,Problem 4,experiment
Problem 5,A,A2,113,2,1,0,0,0,1,1,0,0,0:03:24,Problem 5,experiment
Problem 1,A,A3,68,3,1,0,0,1,1,1,1,0,0:01:31,Problem 1,experiment
Problem 2,A,A3,47,4,1,0,0,1,1,2,0,0,0:01:51,Problem 2,experiment
Problem 3,A,A3,272,4,2,0,0,3,0,0,0,0,0:01:35,Problem 3,experiment
Problem 4,A,A3,263,2,6,0,0,1,0,1,0,0,0:09:31,Problem 4,experiment
Problem 5,A,A3,506,15,6,0,0,14,4,1,0,0,0:16:59,Problem5,experiment
Problem 1,A,A4,243,5,1,0,0,2,2,1,1,0,0:06:45,problem 1,experiment
Problem 2,A,A4,118,4,1,0,0,1,2,1,1,0,0:03:58,Problem 2,experiment
Problem 3,A,A4,48,1,2,0,0,1,0,0,0,0,0:04:09,Problem 3,experiment
Problem 4,A,A4,118,1,5,0,0,1,0,0,1,0,0:05:37,Problem 4,experiment
