	GSM1076965	GSM1076966	GSM1076967	GSM1076968
DDR1	4246.31	15410.6	4168.04	15572.3
RFC2	3467.88	1080.85	2648.72	962.167
HSPA6	194.762	356.937	232.085	340.134
PAX8	3904.15	2858.48	3164.04	2419.89
GUCA1A	9.83573	37.6809	11.798	8.86189
UBA7	686.491	1342.63	744.769	1101.4
THRA	242.147	363.38	151.581	336.856
PTPN21	593.537	301.148	628.431	271.074
CCL5	16.1048	369.473	22.9506	288.622
CYP2E1	18.0887	171.354	128.935	148.823
EPHB3	686.668	644.205	361.804	545.881
ESRRA	1731.46	1600.64	1754.69	2011.35
CYP2A6	140.634	113.954	266.384	94.7467
GAS6	17376.7	8736.98	15186.2	7724.24
MMP14	5714.02	32216.9	4279.1	29804
TRADD	1246.41	2400.82	1131.34	2849.05
FNTB	958.11	1282.69	978.145	1379.47
PLD1	358.005	1315.27	394.197	1295.68
DTX2P1-UPK3BP1-PMS2P11	1697.03	2245.44	2610.66	2193.63
BAD	2773.29	2280.4	2936.38	1881.71
PRPF8	11985.3	8713.47	14605.9	9469.77
CAPNS1	38118.6	35547.7	39100	33212.3
RPL35	54640.2	53897.8	51376.1	49681.5
RPL28	52201.7	57504.1	52546.8	60562.4
EIF4G2	32959.1	24145.7	33808.5	25681.1
EIF3D	21372.5	20082.1	20072.6	18973.2
PARK7	26166.1	20446.1	25365.7	19232.3
SRP14	27211.6	31007.7	25418.5	29369.3
GDI2	18997.5	15339.7	20742	14553.7
GDI2	30659.1	24017.1	32138	23537.7
RPL11	41497	44736.9	42429.6	45855.3
ARF3	12480.2	8938.97	12719.5	10449.8
RPL21	39850.5	37895	43065.7	36714.4
RPL24	49665.8	46980.8	48097.6	46537.1
HNRNPC	16225.9	14250.9	15827.8	14313.2
02-Sep	21011.1	18643.8	20342.4	18338.3
HNRNPA1	54626.3	52349.2	57762.4	46809.5
RPS27A	37554	42552.9	33192.9	39328.7
RPS13	62025.4	62425.3	62991.5	60306.9
FAU	45704.2	42033.6	49355.3	42901.5
TARDBP	14401.4	5334.47	14786.3	5372.31
CFL1	65894.4	66456.9	69491.1	67570.8
RPL18	55562.6	55398.2	62929.7	56444.9
EIF3F	30106.5	25774.3	34752.4	27277.7
RPS5	43912.6	38752.7	45507.1	37301.5
RPL27	55247.9	52506.3	59027.2	52198.7
RPL34	56053	57615.9	48875.1	54918
NARS	10722.2	5979.39	11541.6	8034.37
STARD7	22489.2	12251	21339.2	14037.7
RPL19	58902.4	61197.9	67257	59820.4
SLC25A3	52058.9	38370.9	56405.9	41347.4
RPS11	55417.5	64305.4	56125.4	65223.1
RPL9	61662.8	64595.9	64198.5	63995.4
DDX5	25910.7	18448.9	26790.9	24971
RPL6	46631.4	46392.5	46151.4	45880.3
CTDNEP1	14133.5	14765.3	13437.6	11927.3
RPL10A	41535.5	40520.1	42834.4	40673.6
CBX3	19268.9	12041.6	17255.2	12159.6
RPL17	34507.8	31582.8	38560.7	30365.5
PSMB2	19935.7	14294.6	22197.5	16400.4
KHDRBS1	19880.3	16463.2	20027.5	15603.6
DDX39B///ATP6V1G2	29804.9	17521.1	30137.4	17590.6
RTCB	7939.61	3986.08	7104.57	4864.91
ERH	39929.3	24964.3	35666.5	30886
SRSF9	20737.9	17116	21320.8	17222.2
ABCF1	15549.2	8223.1	15390.8	7974.34
DAD1	20139.3	25845	19025.4	24211.7
YY1	11206.9	10289.2	13624.3	10477.9
JTB	23137	18243.9	19563.2	19079.4
KAT7	3129.62	2605.54	3259.15	2216.11
ZNF146	7075.28	9045.19	7569.05	6535.09
SART1	2766.57	2057.1	2901.16	2223.97
ILF2	13582.2	8380.28	13717.5	7767.84
SPAG7	4519.54	4278.38	4917.92	5102.3
ZPR1	3775.79	2546.64	3576.08	2455.85
TAF10	13596	13833	12196.5	12350.1
C1D	2023.76	2699.86	1872.03	2270.16
NONO	36888	33274.5	38508.8	30782.1
SNRNP200	10881.1	7998.71	13098.1	8888.28
RHOA	44149.6	42859.9	42618.9	45235.8
RNPS1	11116.7	6278.27	12833.9	7723.06
RPS24	51737.3	56960.3	56978	57073.8
RPL30	80609.9	88560.2	85242.6	85528
NPM1	50281.4	41717.9	51831.6	45887.7
HSP90AB1	60701.1	58735.5	68659.9	58455.3
ARF1	39861.3	48781	41272.9	48416.9
IK	6989.96	6684.15	6102.52	7270.37
SNX3	11673.1	14456.1	11625.6	12855.3
CANX	43566.5	50886.5	43548	50543.7
SART3	2966.31	1720.24	3136.17	1563.4
CNPPD1	2312.85	2064.44	2906.75	2000.02
SMNDC1	8526.48	7731.42	7695.5	7874.3
HNRNPM	15176.5	3910.83	17154.4	5054.14
HNRNPD	15823.9	6687.55	18287.8	8583.64
RPL14	37839.1	33614.6	34607.2	27241.1
GUK1	11969.6	12206.5	10906	11657.5
KXD1	6084.19	5491.51	6044.8	5919.34
OAZ1	45007.3	49180.2	44262.9	53431.3
