username,problem1,problem2,problem3,problem4,problem5
A1,0:06:24,0:03:55,0:04:15,0:11:46,0:01:31
A2,0:02:07,0:06:34,0,0:02:49,0:03:24
A3,0:01:31,0:01:51,0:01:35,0:09:31,0:16:59
A4,0:06:45,0:03:58,0:04:09,0:05:37,0:00:50
A5,0:06:07,0:01:47,0:02:04,0:08:10,0:10:25
A6,0:04:16,0:06:02,0:03:28,0:04:38,"-1 day, 23:59:30"
A7,0:03:50,0:05:49,0:04:38,0:07:12,0:01:35
A8,0:04:31,"-1 day, 23:59:38",0:01:26,0:02:50,0:12:47
A9,0:03:03,0:02:09,0:14:36,0:08:44,0:01:20
A10,0,0,0,0,0
A11,0,0:11:12,0:01:01,0:04:24,0:02:31
A12,0:04:41,0:18:41,0:02:51,0:04:42,0:01:05
A13,0:02:30,0:01:41,0:05:36,0:08:55,0:01:14
A14,0:01:35,0:00:53,0:00:54,0:05:38,0:01:22
A15,0:03:25,0:06:19,0:01:21,0:18:38,0:13:44
A16,0:02:28,0:01:08,0:03:07,0:05:35,0:02:52
A17,0,0,0,0,0
A18,0:03:30,0:03:16,0:03:11,0:07:44,0:01:21
A19,0:01:35,0:01:12,0:01:20,0:04:18,0:03:48
A20,0:01:18,0:02:38,0:06:50,0:13:30,0:02:23
A21,0:06:05,0:03:52,0:04:11,0:07:26,0:01:49
A22,0:01:58,0:04:21,0:02:21,0:06:50,0:01:56
A23,0,0,0,0,0
A24,0,0,0,0,0
A25,0,0,0,0,0
A26,0,0,0,0,0
A27,0,0,0,0,0
A28,0,0,0,0,0
A29,0,0,0,0,0
A30,0,0,0,0,0
B4,0:02:11,0:06:09,0:06:17,0:08:06,0:10:22
B12,0:03:31,0:03:23,0,0,0
B13,0:02:32,0:14:51,0:00:42,0:01:40,0
B14,0:03:19,0:04:03,0:06:34,0:11:01,0:01:11
B15,0,0:05:16,0:06:10,0:04:09,0:02:05
B16,0:03:56,0:04:05,0:05:06,0:07:42,0:02:22
B17,0:01:49,0:02:13,0:03:28,0:11:31,0:01:18
B18,0:04:46,0:04:53,0:08:43,0,0:03:15
B19,0:01:24,0:03:40,0:03:15,0:11:57,0:03:55
B20,0:02:37,0:03:08,0:01:06,0:21:21,0:03:21
B21,0:02:23,0:03:37,0:06:30,0:25:17,0
B22,0:05:31,0:03:24,0:00:58,0:10:22,0:05:58
B23,0:02:11,0:05:03,0:01:14,0:06:05,0:10:16
B24,0:01:56,0:03:18,0,0:08:43,0:03:25
B26,0:02:21,0:06:23,0:01:02,0:04:58,0:06:55
B27,0:01:39,0:07:30,0:04:50,0:08:52,0:03:28
B28,0:03:51,0:03:44,0:02:11,0:06:49,0:00:58
B29,0:02:42,0:05:57,0:05:57,0:11:15,0
B31,0:01:51,0:02:15,0:06:48,0:06:36,0:03:43
B32,0:04:00,0:07:28,0:01:50,0:16:59,0:01:43
B33,0:03:03,0:04:10,0:05:14,0:17:48,0:02:10
B34,0:04:02,0,"-1 day, 23:59:37",0:08:21,0:01:54
B35,0:08:04,0:04:07,0:10:48,0:11:12,0:03:55
B36,0:01:25,0:01:34,0:06:54,0:02:41,0:02:42
B37,0:07:54,0:05:56,0:00:50,0:02:03,0:02:13
B39,0:07:39,0,0:02:07,0:12:34,0:02:56
B40,0:02:43,0:03:08,0:05:47,0:18:38,0:00:34
B41,0:01:29,0:02:08,0:01:12,0:30:29,0:01:08
B42,0:01:40,0:01:38,0:02:06,0,0:02:00
B43,0:01:17,0:07:07,0:02:27,0:08:15,0:01:57
B44,0:05:49,0:02:52,0:02:33,0:05:48,0:02:46
B45,0:10:39,0:07:07,0:13:44,0:02:24,0:01:00
B46,0:01:49,0:02:57,0:03:23,0:05:42,0:06:25
B48,0:05:40,0:09:23,0:01:39,0:11:32,0:02:12
B49,0:03:19,0:02:44,0:03:58,0:05:42,0:02:36
B50,0,0,0,0,0
